x,y
597.83801,0.032836154
597.97479,0.028040256
598.11163,0.02404495
598.24847,0.024685737
598.38531,0.025324877
598.52216,0.023306059
598.659,0.01841942
598.79584,0.011322421
598.93268,0.0042265612
599.06952,-0.00058972335
599.20636,0.0024051145
599.3432,0.005137552
599.48004,0.0092501827
599.61688,0.015733717
599.75372,0.020312957
599.8905,0.02489288
600.02734,0.031068187
600.16418,0.0373527
600.30103,0.042199332
600.43787,0.046853285
600.57471,0.051910661
600.71155,0.051549174
600.84839,0.051187433
600.98523,0.0498145
601.12207,0.047125001
601.25891,0.044194017
601.39575,0.040812384
601.53259,0.036630813
601.66943,0.031547505
601.80621,0.026462788
601.94305,0.020552788
602.0799,0.020814797
602.21674,0.020148581
602.35358,0.019484194
602.49042,0.019975498
602.62726,0.023480516
602.7641,0.02684932
602.90094,0.031576697
603.03778,0.038824871
603.17462,0.046314709
603.31146,0.053805675
603.4483,0.060254775
603.58508,0.067939281
603.72192,0.076127358
603.85876,0.083872452
603.99561,0.08828678
604.13245,0.092725247
604.26929,0.097162746
604.40613,0.098528147
604.54297,0.095281333
604.67981,0.092626169
604.81665,0.090098329
604.95349,0.089044102
605.09033,0.087344699
605.22717,0.085643634
605.36401,0.083659939
605.50079,0.081893057
605.63763,0.079779848
605.77448,0.077665679
605.91132,0.068776585
606.04816,0.059838437
606.185,0.0510513
606.32184,0.041501172
606.45868,0.032132041
606.59552,0.024349462
606.73236,0.016566614
606.8692,0.0074379095
607.00604,-0.0013222478
607.14288,-0.010169823
607.27966,-0.018509863
607.4165,-0.019709049
607.55334,-0.015457829
607.69019,-0.011206881
607.82703,-0.0046387254
607.96387,0.010358252
608.10071,0.024452787
608.23755,0.038076445
608.37439,0.05301683
608.51123,0.065774724
608.64807,0.078531645
608.78491,0.09350539
608.92175,0.10934824
609.05859,0.12624291
609.19537,0.14313546
609.33221,0.15911067
609.46906,0.16642644
609.6059,0.17321555
609.74274,0.18008178
609.87958,0.19419716
610.01642,0.20785424
610.15326,0.22150962
610.2901,0.23093973
610.42694,0.23677693
610.56378,0.24199265
610.70062,0.24690551
610.83746,0.25243926
610.9743,0.25228924
611.11108,0.2521399
611.24792,0.25175017
611.38477,0.24692112
611.52161,0.24088775
611.65845,0.23457174
611.79529,0.23251182
611.93213,0.22780855
612.06897,0.22310501
612.20581,0.218945
612.34265,0.21620142
612.47949,0.21468952
612.61633,0.21317872
612.75317,0.21302159
612.88995,0.2082009
613.02679,0.20357208
613.16364,0.19848844
613.30048,0.19392462
613.43732,0.1914793
613.57416,0.18903299
613.711,0.18535586
613.84784,0.17852083
613.98468,0.17235903
614.12152,0.16627434
614.25836,0.15885283
614.3952,0.15338528
614.53204,0.14791887
614.66888,0.14088763
614.80566,0.13507926
614.9425,0.13067241
615.07935,0.12644865
615.21619,0.12367825
615.35303,0.12456785
615.48987,0.12545994
615.62671,0.12329178
615.76355,0.11945283
615.90039,0.11753996
616.03723,0.11611135
616.17407,0.11474799
616.31091,0.11581548
616.44775,0.11688267
616.58459,0.11829189
616.72137,0.12305112
616.85822,0.12935619
616.99506,0.13566026
617.1319,0.14265078
617.26874,0.14361726
617.40558,0.14455487
617.54242,0.14552565
617.67926,0.14580452
617.8161,0.14808406
617.95294,0.15036261
618.08978,0.14972661
618.22662,0.1469813
618.36346,0.14432284
618.50024,0.14213984
618.63708,0.13864209
618.77393,0.1340369
618.91077,0.12943141
619.04761,0.12543778
619.18445,0.11671408
619.32129,0.10556036
619.45813,0.094538145
619.59497,0.085604414
619.73181,0.0764452
619.86865,0.067284301
620.00549,0.058399208
620.14233,0.046916068
620.27917,0.037241854
620.41595,0.027567614
620.5528,0.021381587
620.68964,0.017502982
620.82648,0.014029855
620.96332,0.01162663
621.10016,0.0098952083
621.237,0.0077890991
621.37384,0.005682
621.51068,0.0034993095
621.64752,0.0035731469
621.78436,0.0040768594
621.9212,0.0044519948
622.05804,0.0067957151
622.19489,0.015295375
622.33167,0.023793604
622.46851,0.035866503
622.60535,0.042674579
622.74219,0.046844169
622.87903,0.051131293
623.01587,0.054870825
623.15271,0.06156756
623.28955,0.068266094
623.42639,0.074608058
623.56323,0.080424048
623.70007,0.085321531
623.83691,0.090508051
623.97375,0.092987068
624.11053,0.098645262
624.24738,0.10430568
624.38422,0.10957258
624.52106,0.11170738
624.6579,0.11236105
624.79474,0.11301582
624.93158,0.11573745
625.06842,0.11804885
625.20526,0.12035785
625.3421,0.12188221
625.47894,0.12118291
625.61578,0.1211101
625.75262,0.12103558
625.88947,0.12194451
626.02625,0.12259056
626.16309,0.12370386
626.29993,0.12472832
626.43677,0.1259484
626.57361,0.12561759
626.71045,0.1252858
626.84729,0.12680407
626.98413,0.12941104
627.12097,0.13269611
627.25781,0.13607985
627.39465,0.13617253
627.53149,0.13105407
627.66833,0.1259374
627.80511,0.12046164
627.94196,0.10848466
628.0788,0.094868973
628.21564,0.081252977
628.35248,0.068810754
628.48932,0.057608534
628.62616,0.046769951
628.763,0.036656141
628.89984,0.03293531
629.03668,0.039382774
629.17352,0.045827832
629.31036,0.053462006
629.4472,0.064371303
629.58405,0.076208249
629.72083,0.088781402
629.85767,0.10365891
629.99451,0.12147199
630.13135,0.13928618
630.26819,0.15865897
630.40503,0.1833936
630.54187,0.20932639
630.67871,0.23576364
630.81555,0.26248297
630.95239,0.2837255
631.08923,0.3049677
631.22607,0.32454336
631.36292,0.3379164
631.49976,0.34861401
631.63654,0.35948032
631.77338,0.36881289
631.91022,0.3721312
632.04706,0.37544775
632.1839,0.37700221
632.32074,0.36784044
632.45758,0.35076383
632.59442,0.33368689
632.73126,0.31382084
632.8681,0.29581255
633.00494,0.27786666
633.14178,0.25982428
633.27863,0.24674559
633.41541,0.23457111
633.55225,0.22239678
633.68909,0.20861998
633.82593,0.19494744
633.96277,0.18199477
634.09961,0.16893724
634.23645,0.15505041
634.37329,0.14261833
634.51013,0.13018523
634.64697,0.11697515
634.78381,0.11371861
634.92065,0.114578
635.0575,0.11595578
635.19434,0.11807995
635.33112,0.11870373
635.46796,0.11932621
635.6048,0.11992746
635.74164,0.12166552
635.87848,0.12351692
636.01532,0.12545097
636.15216,0.12734008
636.289,0.12772013
636.42584,0.12809849
636.56268,0.13067965
636.69952,0.13564144
636.83636,0.14145976
636.97321,0.14727776
637.11005,0.15537527
637.24683,0.16702008
637.38367,0.17878699
637.52051,0.19038767
637.65735,0.20333011
637.79419,0.21632874
637.93103,0.22932632
638.06787,0.23883623
638.20471,0.24726029
638.34155,0.25561151
638.47839,0.26542723
638.61523,0.2771906
638.75208,0.28792527
638.88892,0.29865825
639.0257,0.30717409
639.16254,0.31320944
639.29938,0.31843081
639.43622,0.32463771
639.57306,0.33241645
639.7099,0.33911213
639.84674,0.34580821
639.98358,0.35181999
640.12042,0.35863465
640.25726,0.36562118
640.3941,0.37284234
640.53094,0.38237858
640.66779,0.38573107
640.80463,0.38908255
640.94141,0.39020294
641.07825,0.39066112
641.21509,0.39149266
641.35193,0.39231339
641.48877,0.39052776
641.62561,0.38463593
641.76245,0.37874383
641.89929,0.37095991
642.03613,0.36458191
642.17297,0.35922566
642.30981,0.35386911
642.44666,0.34953919
642.5835,0.34314111
642.72034,0.33642265
642.85712,0.33043689
642.99396,0.32622769
643.1308,0.32131121
643.26764,0.31639582
643.40448,0.31189492
643.54132,0.30678853
643.67816,0.30198926
643.815,0.29778439
643.95184,0.29241002
644.08868,0.28812292
